url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country/Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Man-Sang-Envelope-Mfg-Co-Ltd/1X0019JQ,Manufacturer,Hong Kong,1981.0,"Bags, Handbags & Accessories, Consumer Electronics, Design Services, Festive Supplies, Food & Beverage, Gift Packaging, Gift Sets, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Homeware & Lifestyle Essentials, Metal Packaging, Packaging & Displaying Materials, Packaging Materials, Packaging Services, Paper Packaging, Plastic Packaging, Printed Matters, Printing & Publishing Service, Printing & Publishing Services, Stationery, Wedding Gifts & Accessories","Australasia, Hong Kong, Japan, North America, Other Asian Countries, Western Europe, Worldwide",501 - 1000,"US$ 100,000 - 249,999",PAPRO Premium Packaging Print With Purpose From Concept to Creation Brand Elevators Design Driven Manufacturing Innovation in Print Sustainable Solutions Global Packaging Partner Certification Verified by Certificate Name Issued By Certificate Type Valid Date Quality Management System Certificate China Quality Certification Centre ISO 9001 21 May 2028 Environmental Management System Certificate China Quality Certification Centre ISO 14001 30 May 2027 BRC SGS BRC 07 Nov 2025 FSC SGS FSC 06 Feb 2027 Environmental Management System Certificate China Quality Certification Centre ISO 14001 02 Jun 2028 Show More View Details Company Information Verified on 14 Nov 2025 by Disclaimer Certification(s) Verified on 31 Jul 2025 by Disclaimer View details Factory & Facility Research & Development Quality Control 2019 World Expo 2019 World Expo 2019 World Expo Man Sang Packaging Gift Box Man Sang Packaging Gift Box Man Sang Packaging Gift Box (Advent Calendar) Man Sang Packaging Gift Box (Advent Calendar) Man Sang Packaging Gift Box ( Cosmetic ),Ms Mei Yeung,Sales Director,"2/F, Block 2, Camel Paint Building, 58-62 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/EXHIBITION-/1S00O2V5Q,Others,Hong Kong,,"Business Research, Management, Consultancy & General Services, Packaging Services, Parts, Electrical Electronic Supplies, Real Estate, Watches & Clocks ODM OEM Toys loose diamonds Trendy led light",,,,,Prof Sourcing Genius,,HKCEC,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Marshallom-Holdings-Ltd/1X03U3AH,"Exporter, Manufacturer",Hong Kong,2007.0,"Bags, Handbags & Accessories, Consumer Electronics, Food & Beverage, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Metal Packaging, Packaging Materials, Stationery, Telecommunication","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",1001 - 2000,"US$ 500,000 - 999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date Sedex Members Ethical Trade Audit Sedex SEDEX 13 Feb 2023 - 13 Feb 2024 FAMA Disney Others 30 Dec 2022 - 30 Dec 2023 View details Factory & Facility Research & Development Quality Control",,Mr Johnny Chan,Sales Manager,"Flat/Rm 2009, 20/F., CCT Telecom Building, 11 Wo Shing Street, Fotan, Shatin, N.T., Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/TouchPoint-Co-Ltd/1X05MLXC,Manufacturer,Hong Kong,2009.0,"Bags, Handbags & Accessories, Fashion Accessories, Gift Packaging, Gift Sets, Packaging & Displaying Materials, Paper Packaging, Plastic Packaging","North America, Western Europe",101 - 200,"US$ 1,000,000 - 4,999,999 ODM OEM Eco-material management Turn-key Projects View details Factory & Facility Research & Development Quality Control",,Ms Amy Tsang,General Manager,"Room 903, Asia Trade Centre, 79 Lei Muk Road, Kwai Chung, N.T., Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wing-Chun-Gift-Boxes-Product-HK-Co-Ltd/1X080VE1,"Exporter, Manufacturer",Hong Kong,,"Baby Toys, Beauty Supplies, Clothing/ Garments, Food & Beverage, Gift Packaging, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Health, Beauty and Baby Care, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Jewellery & Watch, Metal Packaging, Packaging & Displaying Materials, Packaging Materials, Paper Packaging, Plastic Packaging, Printed Matters, Printing & Packaging, Stationery & Office Equipment, Stationery","Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries",101 - 200,"US$ 1,000,000 - 4,999,999 ODM OEM paper bag Support Customization Food Packaging boxes Jewelry Packaging boxes gift boxes Packaging Cosmetic Packaging boxes Certificate Name Issued By Certificate Type Valid Date G7 IDEA lliance CHINA Others 01 Sep 2022 - 31 Aug 2025 ISO9001 BM TRADA Certification Ltd. ISO 9001 20 Dec 2023 - 16 Dec 2026 FSC SAI Global Certification Services Pty Ltd, FSC 01 Jul 2022 - 02 Apr 2025 Production Production",,Mr Sam Li,Sales Manager,"Unit B, 8/F, Shun Luen Factory Building, 86 To Kwa Wan Rd., To Kwa Wan, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Changshan-Shunfa-Bags-Co-Ltd/1X0B4ZNG,"Exporter, Manufacturer","Quzhou, Zhejiang, Chinese Mainland",2015.0,"Bags, Handbags & Accessories, Clothing/ Garments, Gift Packaging, Gift Sets, Gifts / Souvenirs, Packaging & Displaying Materials","Eastern Europe, Japan, Korea, North America, Western Europe",101 - 200,"US$ 5,000,000 - 9,999,999",shunfa One-stop packaging supplier Luxury Brand Cooperative Part OEM ODM Certificate Name Issued By Certificate Type Valid Date SA8000:2014 - - - CNSA CERITIFATE - - -,Ms Zhu -,CEO,"No.1 West Xindu Road, Xindu Industrial Park, Changshan County, Quzhou City, Zhejiang Province, China.",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Sate-Lite-Foshan-Plastics-Co-Ltd/1X09A6H1,"Exporter, Manufacturer","Foshan, Guangdong, Chinese Mainland",1998.0,"Automobile & Transport, Beauty Supplies, Costume & Fashion Jewellery, Motorcycle Parts & Accessories, Packaging & Displaying Materials, Packaging Materials, Plastic Packaging, Sports Supplies, Stationery","Scandinavia, Western Europe, Worldwide",501 - 1000,"US$ 10,000,000 - 49,999,999",Sate-Lite ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001:2008 - - -,Mr Kevin Huang,,"No.2-2 Fu An Industrial Park, Le Liu Town, Shunde District, Foshan City, Guangdong Province, China.",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Best-Planner-Development-Ltd/1S00O6ZTM,"Exporter, Importer, Manufacturer",Hong Kong,2002.0,Paper Packaging,"Central & South America, Hong Kong, Japan, North America, Western Europe",6 - 10,"US$ 10,000,000 - 49,999,999",BEST PLANNER View details Factory & Facility Research & Development Quality Control,Mr Terence Tam,,"Flat/Rm M-N, 13/F Wing Hong Industrial Building 18-26 Kwai Fung Crescent Lower Kwai Chung, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Flowers-Sky-Industry-Co-Limited/1S00OYXGR,"Distributor, Exporter, Manufacturer",Hong Kong,2017.0,"Gift Packaging, Gift Sets, Gifts / Souvenirs, Homeware & Lifestyle Essentials, Smokers' Accessories",Worldwide,1 - 5,"US$ 1,000,000 - 4,999,999",,Ms Jaunty Li,Manager,"ROOM 5, 5/F, BLOCK C YAT CHING HOUSE, YEE CHING COURT, 311 CHEUNG SHA WAN ROAD SHAM SHUI PO Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Fung-Ming-Ribbon-Industrial-Limited/1X092XEV,Manufacturer,Hong Kong,,"Clothing/ Garments, Fashion Accessories, Fashion, Eyewear & Accessories, Gift Packaging, Gifts, Toys & Sports Supplies, Packaging Materials, Printing & Publishing Services, Professional Services, Shoes & Accessories, Stationery Certificate Name Issued By Certificate Type Valid Date Oeko-Tex 100 - - -",,,,,Mr Edwin Chan,Edwin Chan,"Unit 24, 15/F, Blk B, Hi-Tech Industrial Centre No.491-501 Castle Peak Rd, Tsuen Wan",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hyacinth-Paper-HK-Co-Ltd/1X06YE4Q,Manufacturer,Hong Kong,2011.0,"Gifts, Toys & Sports Supplies, Paper Packaging, Stationery","Chinese Mainland, Eastern Europe, North America, Scandinavia",1 - 5,"US$ 5,000,000 - 9,999,999",,Mr Ken Zhong,Manager,"Unit 1102, 11/F, Lemmi Centre, 50 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/JEF-Industrial-Limited/1X0B3KUI,"Exporter, Manufacturer, Service Company",Hong Kong,1992.0,"Food & Beverage, Gift Packaging, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Metal Packaging, Packaging & Displaying Materials, Packaging Materials, Stationery Certificate Name Issued By Certificate Type Valid Date BRCGS GLOBAL STANDARD for PACKAGING AND PACKAGING MATERIALS INTERTEK - -",,,,,Ms Dorothy Law,Business Development Manager,"Unit B, 3/F, Kam Bun Ind Bldg, 13-19 Kwai Wing Rd, Kwai Chung, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/MPP-PACKAGING-ASIA-LIMITED/1X0AOJHY,"Buying Office, Exporter, Importer, Manufacturer, Wholesaler",Hong Kong,2017.0,"Food & Beverage, Packaging Materials, Paper Packaging, Stationery","Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, Western Europe",1 - 5,"US$ 1,000,000 - 4,999,999 ODM OEM",,Mr Ricky Fung,Director,"Unit A, 2/F Hung To Centre, 94-96 How Ming Street, Kwun Tong Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Mooly-HK-Limited/1S00OIZTM,Distributor,Hong Kong,2023.0,Printing & Publishing Service,Hong Kong,1 - 5,"US$ 50,000 - 99,999","Mono, Natura, volcanic",Mr Herman Chung,Exective Director,"Workshop 5, 1/F., Core 45, No. 43 Tsun Yip Street Kwun Tong Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Roy-Mark-Asia-Ltd/1X00OY7Z,Manufacturer,Hong Kong,1992.0,"Gift Packaging, Paper Packaging, Printing & Publishing Service","Chinese Mainland, Hong Kong, Other Asian Countries, Worldwide",201 - 500,"US$ 10,000,000 - 49,999,999","Roy Mark Printing OEM Certificate Name Issued By Certificate Type Valid Date FSC Mix / FSC Recycled Bureau Verltas Certifivation Holding FSC 03 Oct 2020 - 03 Oct 2025 Quality Management System Certificate DCI Certification LTD ISO 9001 18 Dec 2020 - 28 Dec 2023 Enviromental Management System Certificate DCI Certification Ltd ISO 14001 30 Aug 2021 - 26 Aug 2024 Food Safety Management System Certificate Shen Zhen CTI International Certification Co., LTD ISO 22000 09 Apr 2021 - 29 Feb 2024 Occupational Health & Safety Management System Certificate DCI Certification Ltd. ISO 45001 30 Aug 2022 - 26 Aug 2024 View details Factory & Facility",Miss Rossetti Sun,Administration Manager,"Flat B 3/F Sunrise Industrial Building, 10 Hong Man Street, Chaiwan, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Siluck-HK-Ltd/1X003HZM,"Export Agent, Exporter, Manufacturer, Wholesaler",Hong Kong,1998.0,"Gift Packaging, Gifts, Toys & Sports Supplies, Jewellery & Watch, Packaging & Displaying Materials, Paper Packaging, Party Supplies, Plastic Packaging, Stationery","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",101 - 200,"US$ 5,000,000 - 9,999,999",Goodview packaging ODM OEM Certificate Name Issued By Certificate Type Valid Date (Forest Stewardship Council -(Forest Stewardship Council - - Social Accountability 8000 Bureau Veritas，BV SA8000 09 Mar 2024 - 09 Mar 2025 View details Factory & Facility Research & Development Quality Control EX20101 EX2009-B packing box Watch box.,Mr James Hung,General Manager,"Room 1401, Laurels Ind. Centre, 32 Tai Yau Street, San Po Kong, Kln,Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Starry-Gift-Box-Products-Limited/1S00OVJF8,,Hong Kong,,"Bags, Handbags & Accessories, Gift Packaging, Gifts / Souvenirs, Homeware & Lifestyle Essentials, Packaging & Displaying Materials, Paper Packaging, Stationery View details Factory & Facility",,,,,Miss Anna Chan,,,Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Well-Packaging-Company-Limited/1X07T0U6,Manufacturer,Hong Kong,2012.0,"Bags, Handbags & Accessories, Beauty Supplies, Eyewear & Accessories, Eyewear Machinery, Gift Packaging, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Health, Beauty and Baby Care, Jewellery & Watch, Jewellery Parts & Tools, Packaging & Displaying Materials, Packaging Materials, Paper Packaging, Plastic Packaging, Printed Matters, Printing & Packaging, Stationery & Office Equipment, Printing Consumables, Stationery","Hong Kong, Middle East, North America, Western Europe, Worldwide",51 - 100,"US$ 1,000,000 - 4,999,999 ODM OEM",,Miss Mini Yip,Sales Manager,"RM 01, 18/F., SO TAO CENTRE 1-15 KWAI SAU ROAD, KWAI CHUNG,",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Wing-Wai-Packaging-Printing-Company-Limited/1X0B91GH,"Exporter, Manufacturer, Service Company, Wholesaler",Hong Kong,,"Bags, Handbags & Accessories, Gift Packaging, Gift Sets, Packaging & Displaying Materials, Packaging Materials, Paper Packaging, Stationery","Hong Kong, Worldwide",51 - 100,"US$ 5,000,000 - 9,999,999 Certificate Name Issued By Certificate Type Valid Date ISO14001 Bureau Veritas ISO 14001 12 Jul 2022 - 10 Aug 2025 ISO 9001 :2015 Bureau Veritas ISO 9001 17 May 2022 - 18 Jul 2025 FSC Bureau Veritas FSC 17 Jul 2022 - 16 Jul 2027",,Miss Lydia Chow,A/C,"Rm 322, 3/F., Metro Centre II, 21 Lam Hing Street, Kowloon Bay, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-City-Jingli-Can-Co-Ltd/1X06YC8S,"Exporter, Manufacturer","Dongguan, Guangdong, Chinese Mainland",1999.0,"Bags, Handbags & Accessories, Festive Supplies, Food & Beverage, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Metal Packaging, Packaging Materials, Plastic Packaging, Stationery",Worldwide,2001 - 3000,"US$ 10,000,000 - 49,999,999",Tin box,Dr Grace Liu,Sales Director,"Daji Industrial Zone, Tianbian Manage District, Shipai Town, Dongguan City, Guangdong Province, 523333, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Shing-E-Chang-Paper-Package-Product-Co-Ltd-/1S00O9WXD,,Chinese Mainland,,"Gift Packaging, Packaging & Displaying Materials, Paper Packaging",,,,,Jacky Yu,Sale Manager,"Room 301, Room 102, No. 320, Dongyong Section, Shinan Road, Nansha District, Guangzhou, Guangdong, China 511453",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Yonglin-Printing-Packaging-Co-Ltd/1X00GC9R,Manufacturer,"Guangzhou, Guangdong, Chinese Mainland",1994.0,"Gift Packaging, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Jewellery & Watch, Packaging & Displaying Materials, Paper Packaging, Printed Matters, Stationery, Wedding Gifts & Accessories","Central & South America, Eastern Europe, North America, Western Europe, Worldwide",501 - 1000,"US$ 50,000,000 - 99,999,999",Younglion ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO 9001:2000 - ISO 9001 - View details Factory & Facility inaugural certificate The award of giving prominence to contribution Folding box 2 Cardboard Bookes Paper bag and PVC bag Team Member Membership Ceritificate Having Competive Enterprise Bronze award High Quality's Award High Quality's Award Enterprise of Observing Contact and Valuing Cride Folding boxes for Calvin Klein,Mr Kevin Ching,Marketing Manager,"No.10, XiaHe Road, JiangGao, BaiYun District, Guangzhou, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Crown-Win-Package-Co-Ltd-/1X09ZUXL,Manufacturer,"Dongguan, Guangdong, Chinese Mainland",2008.0,"Educational Toys, Paper Packaging, Plastic Packaging","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",26 - 50,"US$ 250,000 - 499,999",Crownwin View details Factory & Facility,Ms Brina Guan,Manager,"Building C, Shichang 6 Lane, Shuanglong Road, Xiaobian Area, Changan Town, Dongguan City, Guangdong, China 523849",Chinese Mainland
