url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country / Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Microtech-Technology-Co-Ltd/1X006CV5,"Export Agent, Exporter, Import Agent, Manufacturer, Trade/Industrial Organisation",Hong Kong,2003.0,"Consumer Electronics, Design Services, Information Technology, Marketing & Public Relations, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies, Professional Services, Telecommunication","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",101 - 200,"US$ 500,000 - 999,999",Microtech ODM OEM TFT LCD Screen OLED Screen LCD Module lcd touch screen Certificate Name Issued By Certificate Type Valid Date Rosh Compliant - - - View details Factories & Facilities Research & Development Quality Control ISO9000 ISO 9001:2015 ROHS German ERP German exhibition American exhibition,Mr Edward Chu,Managing Director,"Unit 505, 5/F, On Hing Industrial Centre, 18 On Kui Street, Fanling, N.T., Hong Kong.",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Rapid-Conn-S-Pte-Ltd/1S00PEDNQ,Manufacturer,Singapore,1994.0,"Automobile Parts & Accessories, Environmental Protection, Motorcycle Parts & Accessories, Parts, Components & Electrical Supplies","Chinese Mainland, Eastern Europe, North America, Southeast Asia, Taiwan, Worldwide",51 - 100,"US$ 1,000,000 - 4,999,999 View details Factories & Facilities Research & Development Quality Control",,Ms Marie Tham,Business Development Manager,18 Ah Hood Road #11-51 Hiap Hoe Building,Singapore
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Connaught-HK-Limited/1X08PO5V,Manufacturer,Hong Kong,2004.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies","Chinese Mainland, Hong Kong, Korea, North America, Western Europe",201 - 500,"US$ 1,000,000 - 4,999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date 2011/65/EU(RoHS) - - - REACH1907/2006/EC - - - ISO9001:2008 - - -",,Mr David Chow,Marketing manager,"Room 1330, 13/F, Shing Yip Industrial Building, 19-21 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong.",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Trio-Engineering-Co-Ltd-/1X05SO1Z,"Exporter, Manufacturer, Professional Association, Service Company",Hong Kong,1983.0,,"Eastern Europe, Middle East, North America, Southeast Asia, Western Europe, Worldwide",1001 - 2000,,"TRIO, DELTRIX Power Supply PCBA Magnetics Battery Charger New Energy EV Charger Certificate Name Issued By Certificate Type Valid Date ISO9001 BSI - (N/A) - 11 Jan 2021 Certificate of Industry 4.0 1i Recognition HKPC - - ISO13485 BSI - (N/A) - 15 Feb 2021 ISO14001 BSI - (N/A) - 09 Mar 2022 OHSAS18001 BSI - (N/A) - 11 Mar 2021 Show More",Ms Shan Leung,Senior Marketing Manager,"5J, Phase 2, Kaiser Estate, 51 Man Yue Street, Hung Hom, Hon Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Salecom-Electronics-Co-Ltd/1X00KQGE,Manufacturer,"Changhua County, Taiwan",1976.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies",Worldwide,201 - 500,"US$ 1,000,000 - 4,999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date ISO9001 - ISO 9001 - ISO14001 - ISO 14001 - View details Factories & Facilities",,Mr Chia-Ying Chen,Marketing Specialist,"4F-10, No.1 Wu Chyuan 1st Road, Hsin Chuang City, Taipei, Taiwan",Taiwan
https://sourcing.hktdc.com/en/Supplier-Store/Profile/SJHI-Co-Limited/1X0AFVSN,,Hong Kong,,"Home Appliances, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies",,,,,Karl Yip,Sales Manager,"Suite 3B-4, 8/F, Twr 5, China Hongkong City, 33 Canton Rd, Tsim Sha Tsui, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Yan-Chuen-Co-Ltd/1X0008MQ,"Exporter, Manufacturer",Hong Kong,1992.0,"Building Materials & Supplies, Consumer Electronics, Gifts, Toys & Sports Supplies, Hardwares (Tools & Parts), Industrial Machinery, Parts & Raw Materials, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Raw Materials, Stationery",Worldwide,201 - 500,"US$ 10,000,000 - 49,999,999 Certificate Name Issued By Certificate Type Valid Date ROHS Test Report - - - REACH (SVHC) REPORT - - - PAHs Test Report - - - GMC-Global Manufacturer Cert. - - - ISO14001:2015 TUV - (N/A) - 23 Aug 2024 Show More View details Factories & Facilities Quality Control",,Miss Ivy Cheung,Sales Manager,"Unit 1404, 14/F, Fo Tan Industrial Centre, 26-28 Au Pui Wan Street, Fotan, N.T., Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Co-Electronic-Co-Ltd/1S00M19RI,Manufacturer,Hong Kong,1979.0,"Lights, Parts, Components & Electrical Supplies","Australasia, Hong Kong, North America, Western Europe",201 - 500,"US$ 5,000,000 - 9,999,999 SMT SMD Plastic Injection Plastic extrusion OEM PCBA PCB Assemble Electronic Transformer High Frequency Transformer Certificate Name Issued By Certificate Type Valid Date ISO9001:2015 China Quality Certification Centre ISO 9001 20 Oct 2020 - 16 Oct 2023 View details Factories & Facilities Research & Development Quality Control",,Mr Jacky Lai,Assistant Operation Manager,"Flat 1, 13/F. Wah Hung Centre Hung To Road Kwun Tong, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/KWAN-DA-ELECTRONIC-HK-LIMITED/1X0AVHVQ,Manufacturer,Hong Kong,1989.0,"Consumer Electronics, Parts, Components & Electrical Supplies, Parts, Components & Raw Materials, Parts, Electrical Electronic Supplies","Australasia, Central & South America, Chinese Mainland, Eastern Europe, Japan, Scandinavia, Southeast Asia, Taiwan, Western Europe",201 - 500,,KD,Ms XIUMEI ZHOU,,"3906, 39/F, TOWER 11, METROPLAZA, 223 HING FONG, ROAD,KWAI CHUNG, N.T., HONG KONG",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Easttop-Display-Co-Ltd/1X04P45J,"Exporter, Manufacturer",Hong Kong,2005.0,"Parts, Components & Electrical Supplies, Parts, Components & Raw Materials","Eastern Europe, Hong Kong, Korea, North America, Other Asian Countries, Western Europe",201 - 500,"US$ 10,000,000 - 49,999,999 Certificate Name Issued By Certificate Type Valid Date Business Registration Certification - - -",,Li Helen,Sales Manager,"Unit 1001, Fourseas Bldg, 208-212 Nathan Rd, Kowloon, Hong Kong",Hong Kong
