url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country / Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Perusahaan-Alam-Sejahtera/1S00PD5Y1?fairCode=foodexpopro&locale=en,"Exporter, Wholesaler",Brunei Darussalam,2018,Beverages,Southeast Asia,1 - 5,"US$ < 50,000","Afiya International Market Showcase - Seoul, Korea Retail Presence in Brunei Local Trade Exhibition Brunei Week @ Singapore Product Portfolio Afiya_Goat_Milk_Product_Catalogue_2026 Afiya Goat Milk Original Afiya Goat Milk Chocolate",Mr Basir Basman,Manager,"No. 2, Simpang 45 Jalan Pantai Sungai Liang Kampung Perumpong Belait, KC1935",Brunei Darussalam
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Japan-External-Trade-Organization/1S00NJVLE?fairCode=foodexpopro&locale=en,Consulate and Trade Commission,Hong Kong,,,,,,,Mr Kazuki Yoshizawa,,"Unit 1, 40/F Hopewell Ctr 183 Queen's Rd E Wan Chai, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hosan-Co-Ltd/1S00PD877?fairCode=foodexpopro&locale=en,"Export Agent, Exporter","Korea, Republic Of",1994,"Beverages, Food","Eastern Europe, Western Europe, Worldwide",11 - 15,"US$ 10,000,000 - 49,999,999",A+HOSAN CONSOLIDATOR OEM SUPPLIER HORECA SUPPLIER KOREA BRANCH Certificate Name Issued By Certificate Type Valid Date FSSC22000 IGC FSSC22000 22 Aug 2024 - 31 Oct 2027 KMF HALAL KOREA MUSLIM FEDERATION HALAL COMMITTEE Others 14 Apr 2026 - 13 Apr 2029,Ms Hanna Choi,Manager,"Room204 Cheonma B/D, 402, Hakdong-ro Gangnam-Gu, Seoul Korea","Korea, Republic Of"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/J-LEC-Processed-Meat-Export-Council/1S00P41M5?fairCode=foodexpopro&locale=en,,Japan,,,,,,,Yuji Takeuchi,,"1-5-6, Ebisu, Shibuya-ku, Japan",Japan
https://sourcing.hktdc.com/en/Supplier-Store/Profile/JD-Food-Public-Company-Limited/1S00PCPF2?fairCode=foodexpopro&locale=en,,Thailand,,Food View details Factories & Facilities,,,,,Mr Amiga Thintip,,,Thailand
https://sourcing.hktdc.com/en/Supplier-Store/Profile/JTB-Corp-/1S00PDJEB?fairCode=foodexpopro&locale=en,,Japan,,,,,,,Ryosuke Saga,,"8F OsakadoujimahamaTower, 1-1-27,Doujimahama,Kita-",Japan
https://sourcing.hktdc.com/en/Supplier-Store/Profile/MANIKER-F-G/1S00PDRIR?fairCode=foodexpopro&locale=en,,"Korea, Republic Of",,,,,,,Shim Hojim,,"No.Factory1,2, 36-2 Baekok-daero 144beon-gil, Idong-eup, Cheoin-gu, Yongin-si, Gyeonggi-do, Seoul, Republic of Korea","Korea, Republic Of"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Naiffy-Inc-/1S00PDRR0?fairCode=foodexpopro&locale=en,,"Korea, Republic Of",,Food,,,,,Mikyeong Kim,Assistant Manager,"1530, 40-11; 2 gongdan 4-ro; Seobuk-gu, Cheonan-si; Chungcheongnam-do, Republic of Korea","Korea, Republic Of"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Nextbio-Co-Ltd-/1X0AVNEP?fairCode=foodexpopro&locale=en,,"Korea, Republic Of",,Beverages,,,,,Wonhee Nah,,"65-10, Ucheonje2nonggongdanji-ro, Ucheon-myeon, Hoengseong-gun, Gangwon-do, Korea","Korea, Republic Of"
https://sourcing.hktdc.com/en/Supplier-Store/Profile/OTOKI-Corporation/1S00PDFEF?fairCode=foodexpopro&locale=en,,"Korea, Republic Of",,,,,,,Soohyeon Kwon,,"405th, Heungan-daero, Dongan-gu, Anyang, Korea","Korea, Republic Of"
