url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country / Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Oxygen-Ltd/1X001L54,"Export Agent, Exporter",Hong Kong,1996.0,"Consumer Electronics, Gifts, Toys & Sports Supplies, Homeware & Lifestyle Essentials, Lights","Central & South America, Japan, Korea, North America, Western Europe, Worldwide",26 - 50,"US$ 10,000,000 - 49,999,999","Derens, ARSK ODM OEM radio Clock Radio Boombox Party box Clock BluetoothSpeaker Certificate Name Issued By Certificate Type Valid Date IS0 9001/2015 Certify Company ACI ISO 9001 27 May 2024 - 30 May 2027 ISO 14001/2015 Certify Company ACI ISO (others) 31 May 2025 - 31 May 2028 SA 8000/2014 Certify Company ACI SA8000 31 May 2025 - 31 May 2028 View Details Company Information Verified on 14 Nov 2025 by Disclaimer View details Factories & Facilities",Ms Stella Ng,General Manager (Marketing),"ROOM 402A, 4/F., TCL TOWER, NO.8 TAI CHUNG ROAD, TSUEN WAN, N.T., HONG KONG",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chung-Pak-Battery-Works-Ltd/1X000BCR,"Exporter, Manufacturer",Hong Kong,1980.0,"Building Materials & Supplies, Consumer Electronics, Industrial Machinery, Parts & Raw Materials, Jewellery & Watch, Parts, Components & Electrical Supplies, Watches & Clocks","Korea, Worldwide",1001 - 2000,"US$ 50,000,000 - 99,999,999","VINNIC ODM OEM Certification Verified by Certificate Name Issued By Certificate Type Valid Date Environmental Management System Certification Certificate Intertek ISO 14001 20 Apr 2029 MANAGEMENT SYSTEM CERTIFICATE DNV‑Business Assurance ISO 9001 17 Mar 2027 MANAGEMENT SYSTEM CERTIFICATE DNV‑Business Assurance USA Inc. IATF16949 29 Apr 2027 Intellectual Property Compliance Management System Certificate Zhonggui (Beijing) Certification Co., Ltd. License 26 May 2028 High‑tech Enterprise Certificate Guangdong Provincial Tax Service, State Taxation Administration License 19 Dec 2028 Show More View Details Company Information Verified on 27 Mar 2026 by Disclaimer Certification(s) Verified on 04 Sep 2026 by Disclaimer View details Factories & Facilities 2019 HKTDC Electronics Fair(Spring Edition) The 126th China Import & Export Fair The 125th China Import & Export Fair 2019 Battery China Hong Kong Toys & Games Fair 2014 CES 2005 in USA Electronica 2004 in Germany CPB ISO9001：2015",Mr Yu Kelvin,Oversea Manager,"Flat B, 2/F, Wah Shun Indl Bldg, 4 Cho Yuen Street, Yau Tong Bay, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Cager-Digital-Technology-Co-Ltd/1X0AY4J5,"Exporter, Manufacturer","Shenzhen, Guangdong, Chinese Mainland",2005.0,"Consumer Electronics, Gifts, Toys & Sports Supplies, Home Appliances, Telecommunication",Worldwide,201 - 500,"US$ 50,000,000 - 99,999,999",Cager Certificate Name Issued By Certificate Type Valid Date BSCI amfori Social Audit - Manufacturing BSCI 06 Aug 2025 - 06 Aug 2026 View Details Company Information Verified on 05 Dec 2025 by Disclaimer View details Factories & Facilities Research & Development Quality Control,Mr Kevin Zhang,Sales Director,"5F, Building A, Weipengda Industrial Park, #19,Langkou Commudity, Dalang St, Longhua Dist, Shenzhen City, Guangdong Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Interthings-Technology-Co-Ltd/1X0AIHPW,"Exporter, Manufacturer","Shenzhen, Guangdong, Chinese Mainland",2018.0,"Baby Care & Nursery, Building Materials & Supplies, Consumer Electronics, Environmental Protection, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Home Appliances, Internet of Things, Lights, Optical Equipment, Parts, Electrical Electronic Supplies, Printing & Packaging Equipment, Telecommunication","Australasia, Eastern Europe, North America, Scandinavia, Western Europe",51 - 100,"US$ 10,000,000 - 49,999,999",interthings ODM OEM Security Camera Doorbell Certificate Name Issued By Certificate Type Valid Date Video doorbell IPB190 FCC - - - Video doorbell IPB190 C-tick - - - Factory BSCI - - - Factory ISO9001 - - - IPC159 Plug-in camera CE certificate - - - Show More View details Factories & Facilities Research & Development Quality Control,Miss Sun Summer,Manager,"Room 701, Block A, Building 1, Lechuanghui Building, Longhua District, Shenzhen City, Guangdong Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Trendwoo-Tech-Co-Ltd/1X09110X,"Exporter, Manufacturer","Shenzhen, Guangdong, Chinese Mainland",2011.0,"Automobile Electronics, Consumer Electronics, Gifts / Souvenirs, Homeware & Lifestyle Essentials, Parts, Components & Electrical Supplies, Parts, Electrical Electronic Supplies, Sports Supplies, Telecommunication","Australasia, Central & South America, Eastern Europe, Japan, Korea, Middle East, North America, Scandinavia, Southeast Asia, Western Europe, Worldwide",201 - 500,"US$ 10,000,000 - 49,999,999 ODM OEM Certificate Name Issued By Certificate Type Valid Date Reddot Award Reddot Organization - (N/A) - 16 Jun 2022 Reddot Award Reddot Organization - (N/A) - 12 Jan 2023 View Details Company Information Verified on 05 Jun 2026 by Disclaimer View details Factories & Facilities Research & Development Quality Control Reddot Award Reddot Award Reddot Award Reddot Award",,Ms Kayla Huang,Sales Director,"Units 3202, 3208, Building C, Galaxy WORLD Phase II, Minle Community, Minzhi Street, Longhua District, Shenzhen City, Guangdong Province, China.",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Kingstar-Technology-Co-Ltd-/1X0B3HBA,Exporter,"Shenzhen, Guangdong, Chinese Mainland",2015.0,"Consumer Electronics, Gifts, Toys & Sports Supplies, Personal Care, Telecommunication View Details Company Information Verified on 05 Jun 2026 by Disclaimer",,,,,Ms Binna Huang,Finance Staff,"Room 201,Building A,No. 1 Qianwan Road, Qianhai Shenzhen-Hong Kong Cooperation Area, Shenzhen guangdong, 518000 China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/HONG-KONG-SCIENCE-TECHNOLOGY-PARKS-CORP/1X00H0R9,Service Company,Hong Kong,2001.0,,Hong Kong,101 - 200,"US$ 5,000,000 - 9,999,999",,Ms Samantha Yung,,"8F/ Bio-Informatics Centre No. 2 Science Park West Avenue Hong Kong Science Park, Shatin Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Youmei-Electronics-Co-Ltd/1S00OQOXL,"Exporter, Manufacturer","Shenzhen, Guangdong, Chinese Mainland",,Personal Care View details Factories & Facilities,,,,,Ms liang wen,,"Room 209-1, 209-211, Building 3 Minle lndustrial Zone, Minle Community Minzhi Street, Longhua District Shenzhen, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Jie-Li-Electron-Co-Ltd/1S00OBCK0,,Chinese Mainland,,Consumer Electronics,,,,,wei Miss,,"No.5,Xinke Kejia Yuanxing Rd.,Jiehe Street,Baiyun",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Xinshuo-Technology-Co-Ltd/1S00P62Z1,"Others, Retailer","Shenzhen, Guangdong, Chinese Mainland",2021.0,Consumer Electronics,,,,,Mr - Jian,,"Santi Building, Xili University Pioneer Park, Taoyuan Street, Nanshan District, Shenzhen, China",Chinese Mainland
