url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country / Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Xinjiang-Bainian-Manor-Wine-Co-Ltd/1S00OI4X5?fairCode=hkfoodexpo&locale=en,Manufacturer,"Bayin Guoleng Menggu Zizhizhou, Xinjiang Uygur Autonomous Region, Chinese Mainland",2010.0,Alcoholic Beverages,Chinese Mainland,51 - 100,"US$ 1,000,000 - 4,999,999",BainianManor、XiDuojv、HelloDonkey Certificate Name Issued By Certificate Type Valid Date Ecocert Organic Standard Ecocert SAS Others 10 Mar 2023 - 31 Mar 2024 HACCP SYSTEM CERTIFICATE CHINA QUALITY CERTIFICATION CENTRE HACCP 17 Mar 2022 - 04 Jun 2025 QUALITY MANAGEMNT SYSTEM CERTIFICATE CHINA QUALITY CERTIFICATION CENTRE ISO 9001 23 Mar 2022 - 05 May 2025 FIWA BIO 2023 FIWA BIO 2022 international organic wine award 2021 FIWA Bio 2020 international organic wine award 2019 Concours Mondial BRUXELLES 2019 FIWA Bio 2019 Concours Mondial BRUXELLES 2018 vineyard Brewing workshop Wine cellar,Ms BingXue Zhao,General Manager,"No. 72, Group 1, Dongdu Huduge Village, Quhui Town,Mongolian Autonomous Prefecture of Bayi XINJIANG Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ng-Fung-Hong-Limited/1S00NYSHT?fairCode=hkfoodexpo&locale=en,"Distributor, Import Agent, Retailer",Hong Kong,,Food,,,,,Ms Phelix Pun,,"3/F Yuen Fat Bldg 89 Yen Chow St W Sham Shui Po, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tai-Po-Chun-Hing-Ltd/1X04NH3I?fairCode=hkfoodexpo&locale=en,Manufacturer,Hong Kong,,,,,,,Mr Pius Chan,,"Room 15, 14/F, Block B Wah Luen Industrial Centre 15-21 Wong Chuk Yeung, Fotan, Shatin, N.T., Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Chuan-Chiong-Co-Ltd/1X07E5WP?fairCode=hkfoodexpo&locale=en,"Exporter, Importer, Manufacturer, Wholesaler",Hong Kong,1935.0,"Beverages, Food & Beverage, Health, Beauty and Baby Care, Personal Care",,,,,Mr Stanley Wong,,"28/F, 148 Wing Lok Street Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hualien-County-Government/1S00P48UA?fairCode=hkfoodexpo&locale=en,,Taiwan View details Factories & Facilities,,,,,,,Ms Susan Pan,,,Taiwan
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Everway-Industrial-Limited/1S00O0LT0?fairCode=hkfoodexpo&locale=en,"Exporter, Retailer",Hong Kong,2019.0,"Homeware & Lifestyle Essentials, Party Supplies","Australasia, Hong Kong, Japan, North America, Other Asian Countries, Taiwan",1 - 5,"US$ 1,000,000 - 4,999,999","PartyDroid, EWIDeisgner, Beyond Bath Certificate Name Issued By Certificate Type Valid Date Test Report for Aqueous and fatty food Contact (US FDA 21 CFR 176.170) and Free BPA free cutlery Bureau Veritas Shenzhen Co., LTD - - Test Report for Aqueous and fatty food Contact (US FDA 21 CFR 176.170) and Free BPA free cutlery Bureau Veritas Shenzhen Co., LTD - -","Mr Brian, Kin-Hung Chan",Head of Marketing & Sales,"Unit 31B, Vigor Industrial Building, Phase 1, 49-53 Ta Chuen Ping Street, Kwai Chung, New Territories, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Life-Is-For-Excellence-Limited/1X0B5ADT?fairCode=hkfoodexpo&locale=en,"Distributor, Exporter, Importer, Manufacturer, Retailer, Wholesaler, e-tailer",Hong Kong,2015.0,"Beauty Supplies, Beverages, Food, Home Appliances, Homeware & Lifestyle Essentials, Personal Care, Sports Supplies","Chinese Mainland, Hong Kong, North America",6 - 10,,LIFE Quality Organic Retailer HONG KOMG QUALITY E-COMMERCE SCHEME OUTSTANDING NZ 2023 PRODUCER AWARDS - GOLD SIAL Innovation in SIAL Shenzhen 2023,Ms Stella Lam,Director,"8/F., Hing Lung Comm Bldg., 68 Bonham Strand, Sheung Wan, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shandong-Delisi-Food-Co-Ltd-/1S00PCEZP?fairCode=hkfoodexpo&locale=en,,Chinese Mainland View details Factories & Facilities,,,,,,,Miss TengFei Wang,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Eagle-Wine-Store-Company/1S00NYKUY?fairCode=hkfoodexpo&locale=en,"Buying Office, Importer, Retailer, Wholesaler",Hong Kong,2016.0,Alcoholic Beverages,Hong Kong,,,,Mr Rover Chan,Director,"Room 5, 4/F Ping Fai Industrial Building, No. 312 Un Chau Street Cheung Sha Wan, Kowloon,Hong Kong SAR China.",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Kairun-Food-H-K-Limited/1X03LHG5?fairCode=hkfoodexpo&locale=en,"Distributor, Exporter, Importer, Wholesaler",Hong Kong,2010.0,"Alcoholic Beverages, Food",Hong Kong,1 - 5,"US$ 100,000 - 249,999",Kai's Gourmet cocktails Gelato Truffle Truffle Mushroom,Ms Maggie Ma,Director,Room D 10/F Blk 3 Golden Dragon Industrial Centre Room D 10/F BLK 3 Golden Dragon Industrial Center Kwai Chung Hongkong Hongkong,Hong Kong
