url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country/Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Guangzhou-Hualiang-Xinxing-Electronic-Manufacturing-Co-Ltd/1S00OUZVG,"Exporter, Manufacturer","Guangzhou, Guangdong, Chinese Mainland",1990.0,Consumer Electronics,"Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",201 - 500,"US$ 50,000,000 - 99,999,999","AILIANG Certification Verified by Certificate Name Issued By Certificate Type Valid Date CE Test Report Shenzhen Anbotek Compliance Laboratory Limiteed Others - CE Shenzhen Anbotek Compliance Laboratory Limiteed CE RED - IEC Test Report Shenzhen Anbotek Compliance Laboratory Limiteed Others - CE Shenzhen AZT Technology Co., Ltd CE - CE Shenzhen Anbotek Compliance Laboratory Limiteed CE RED - Show More View Details Certification(s) Verified on 30 Apr 2025 by Disclaimer",Miss Teresa Cui,MANAGER,"No. 5-1, Industrial Road, Quanxi Village, Jianggao Town, Baiyun District, Guangzhou, Guangdong, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/GuangDong-Topleo-Technology-Co-Ltd/1S00OLNOD,"Exporter, Manufacturer","Dongguan, Guangdong, Chinese Mainland",,"Consumer Electronics, Video Games & Accessories Certification Verified by Certificate Name Issued By Certificate Type Valid Date ISO 9001 Intertek Testing Services Ltd., Shanghai ISO 9001 24 Aug 2026 FCC Eurofins Electrical and Electronic Testing NA. Inc FCC - CE Shenzhen BCTC Testing Co., Ltd CE - RoHS Shenzhen BCTC Testing Co., Ltd RoHS - FCC Shenzhen LTT Testing Technology Co., Ltd FCC - Show More View Details Certification(s) Verified on 26 Jun 2025 by Disclaimer View details Factory & Facility",,,,,Miss wang Jiale,,"Room 503, Building 2 Factory Building No.3, Sima Industrial 1st Road Changping Town Dongguan City, Guangdong Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Risun-Technology-Co-Ltd-/1X0759HS,"Exporter, Manufacturer","Shenzhen, Guangdong, Chinese Mainland",2006.0,"Health Care & Medical Supplies, Health, Beauty and Baby Care, Home Appliances, Personal Care","Japan, Korea, North America, Western Europe, Worldwide",1001 - 2000,"US$ 10,000,000 - 49,999,999",RISUNTECH ODM OEM OBM Certification Verified by Certificate Name Issued By Certificate Type Valid Date CHEAA China Household Electrical Appliances Association Others 28 Feb 2027 ISO 13485 Intertek ISO 13485 26 Dec 2027 Business license Market Supervision Administration of Shenzhen Municipality License 07 Feb 2026 Other Certification Certificate Name Issued By Certificate Type Valid Date ISO 9001:2008 - - - ISO 13485 - - - Show More View Details Company Information Verified on 14 Nov 2025 by Disclaimer Certification(s) Verified on 14 May 2025 by Disclaimer View details Factory & Facility Research & Development,Mr Dylan Yip,Marketing director,"Room 101, Building A, Xinmusheng Low Carbon Industrial Park, No.6, Xinmu Avenue, Xinmu Community, Pinghu Street, Longgang District, Shenzhen, Guangdong 518111, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Leader-Import-Export-Co-Ltd-/1X050Z30,"Exporter, Manufacturer","Ningbo, Zhejiang, Chinese Mainland",2002.0,"Beauty Supplies, Consumer Electronics, Furniture & Parts, Homeware & Lifestyle Essentials, Parts, Electrical Electronic Supplies","Japan, Korea, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe",26 - 50,"US$ 10,000,000 - 49,999,999",LEADER Certificate Name Issued By Certificate Type Valid Date ISO 9000 - - - View Details Company Information Verified on 14 Nov 2025 by Disclaimer,Ms Lili Zhou,Assistant to General Manager,"No.858, Fuming Road, Yinzhou District, Ningbo, China.",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-SKL-International-Co-Ltd-/1X06YBQD,"Export Agent, Exporter, Manufacturer, e-tailer","Ningbo, Zhejiang, Chinese Mainland",2009.0,"Automobile & Transport, Automobile Parts & Accessories, Bags, Handbags & Accessories, Consumer Electronics, Gifts, Toys & Sports Supplies, Home Appliances, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Telecommunication, Textiles, Fabrics & Yarns","Africa, Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",101 - 200,"US$ 10,000,000 - 49,999,999","Loukin,Packall ODM OEM View details Factory & Facility",Miss Cicy Shi,Sales Manager,"Part A, Hongtang Industrial Park, No.195 Hongda Road, Jiangbei, Ningbo City, Zhejiang Province, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/RONGTA-TRADE-CO-LTD/1S00OII9R,"Exporter, Manufacturer","Xiamen, Fujian, Chinese Mainland",2010.0,Consumer Electronics,Worldwide,501 - 1000,"US$ 50,000,000 - 99,999,999",Rongta AI scales Thermal printing Barcode transfer View Details Company Information Verified on 14 Nov 2025 by Disclaimer View details Factory & Facility Research & Development Quality Control,Ms Linda lin,Sales director,"No. 88 Tonghui South Road,Tong'an District, Xiamen, China, 3",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Shenzhen-Unique-Scales-Co-Ltd/1X08G7IX,Manufacturer,"Shenzhen, Guangdong, Chinese Mainland",2002.0,"Baby Care & Nursery, Consumer Electronics, Gifts, Toys & Sports Supplies, Health Care & Medical Supplies, Home Appliances, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials","Australasia, Central & South America, Chinese Mainland, Eastern Europe, Hong Kong, Japan, North America, Western Europe, Worldwide",101 - 200,"US$ 10,000,000 - 49,999,999 ODM OEM View details Factory & Facility",,Ms Anna Yao,Sales Manager,"5th FL., LiDeXun Building HeKan Industry Zone No 71 Wu He South Road",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Ningbo-Taller-Intelligent-Technology-Co-Ltd-/1S00O9SP5,Manufacturer,"Shanghai Shi, Shanghai, Chinese Mainland",,"Home Appliances, Lights",Western Europe,51 - 100,"US$ 250,000 - 499,999",taller OEM ODM,Mr Rachel zhou,Marketing director,"No.1 Gongji Road,Simen Industrial Zone,Yuyao., Zhejiang, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Dongguan-Osm-Digital-Co-Ltd/1S00O9SQ2,,Chinese Mainland,,Consumer Electronics,,,,,Yafang Li,,"Building A, Longdi lndustrial Park,No.6 Tiansha Road, Tangxia Town,Dongguan City, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huizhou-Clinav-Industrial-Development-Limited/1S00OW04O,Manufacturer,Chinese Mainland,,Consumer Electronics,,,,,Miss Sharon Huang,,"2/F Clinav Industrial Building, beside Yuanzhou Avenue Shangnan Village, Yuanzhou Town, Boluo County Huizhou, Guangdong, China",Chinese Mainland
