url,Nature of Business,Location,Year of Establishment,Main Categories,Major Markets,Total Employees,Annual Turnover,Brands,Contact Person,Position,Office Address,Country/Region
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Tsai-Thing-International-Technology-Limited/1X00LEDH,"Exporter, Manufacturer","Taichung City, Taiwan",1980.0,"Automobile & Transport, Automobile Electronics, Automobile Parts & Accessories, Building Materials & Supplies, Consumer Electronics, Environmental Protection, Furniture & Parts, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Telecommunication","Hong Kong, Japan, North America, Other Asian Countries, Southeast Asia, Taiwan, Western Europe",26 - 50,"US$ 1,000,000 - 4,999,999","OEM ODM ODM OEM Plastic Injection Factory manufacturer exporter Self-Produced and Self-Sold Made In Taiwan Competitive price Certificate Name Issued By Certificate Type Valid Date TH-918 Notebook Cooler with stand - - - TH-988 Handler of Full size tablet and desk mount - - - Screen Shelf Taiwan Patent Intellectual Property Office, Ministry of Economic Affairs - (N/A) - 01 Feb 2018 Screen Shelf China Patent China National Intellectual Property Administration - (N/A) - 10 Jul 2018 View details Factory & Facility Research & Development Quality Control",Ms Jenny Zeng,Sales,"No. 19-3 Tsuin Lane Feng Shi Road, Shi Kang Hsiang, Taichung, Taiwan.",Taiwan
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Carrara-International-Ltd/1X0F0GUU,"Exporter, Manufacturer",Taiwan,,"Consumer Electronics, Gifts / Souvenirs, Homeware & Lifestyle Essentials, Watches & Clocks",Worldwide ODM OEM,,,,Mr Ricky Huang,Sales,"2F.-5, No.486 Fuxing N. Road, Zhongshan District, Taipei City, 10476, Taiwan.",Taiwan
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hunan-Legend-Porcelain-Industry-Co-Ltd/1S00P4D9W,Importer,Chinese Mainland,,"Gift Sets, Homeware & Lifestyle Essentials",,,,,Ms Teresa Yao,,"Jiashu Village, Jiashu Town Liling City, Hunan, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Huangyan-Huayu-Toy-Co-Ltd/1X03WRM5,"Exporter, Manufacturer","Taizhou, Jiangsu, Chinese Mainland",,"Darts, Educational Toys, Gambling Games, Gifts, Toys & Sports Supplies, Sports Supplies, Toy Sporting Goods","North America, Western Europe",201 - 500,"US$ 1,000,000 - 4,999,999 Certificate Name Issued By Certificate Type Valid Date ASTM - - - EN-71 - - - View details Factory & Facility",,Mr Xianhua Xiang,Manager,"Jingqi Road, Western Industrial Zone, Huangyan, taizhou, Zhejiang, 318020, China",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Orient-Industry-Trade-Co-Ltd/1S00OEXVI,,Chinese Mainland,,,,,,,Mr He He,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hong-Kong-Productivity-Council/1S00NOSZB,Statutory Body,Hong Kong SME ReachOut Government Funding Hello! SME ReachOut SME ReachOut Success Story EP.1 SME ReachOut Success Story EP.2 (Version 1) SME ReachOut Success Story EP.2 (Version 2) SmartKit of Government Funding Schemes Videos on Funding Application Tips & From-Filling Tactics Funding Grab N Go,,,,,,,Mr Jack Lam,,"HKPC Bldg, 78 Tat Chee Ave, Yau Yat Tsuen, Kowloon, Hong Kong",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Taizhou-Feirong-Glasses-Co-Ltd-/1X0B9XZA,"Exporter, Manufacturer, Wholesaler","Taizhou, Zhejiang, Chinese Mainland",2017.0,"Baby Toys, Eyewear & Accessories, Fashion Accessories, Fashion, Eyewear & Accessories, Festive Supplies, Gift Packaging, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Health Care & Medical Supplies, Party Supplies, Personal Care, Plastic Packaging, Sports Supplies, Wedding Gifts & Accessories","Africa, Australasia, Central & South America, Eastern Europe, Japan, Korea, Middle East, North America, Other Asian Countries, Scandinavia, Southeast Asia, Taiwan, Western Europe, Worldwide",26 - 50,"US$ 1,000,000 - 4,999,999",Flymoon ODM OEM sunglasses optic glasses eco-friendly glasses glasses case Certificate Name Issued By Certificate Type Valid Date CE_SUNGLASSES - - - FDA - - - CE _GOGGLES - - - CE_Face Shield - - - View details Factory & Facility,Mr Teddy Zhao,Sales Manager,"Rm. 718A, Pioneer Park E, Xintai Plaza, 168 Square South Rd., Jiaojiang, Taizhou City, Zhejiang Province, China.",Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Zhejiang-Huangyan-Hongxing-Crafts-Factory/1S00ON5GJ,Manufacturer,"Taizhou, Zhejiang, Chinese Mainland",2021.0,"Baby Toys, Dolls, Educational Toys, Gift Sets, Gifts / Souvenirs","Chinese Mainland, Korea, North America, Western Europe",101 - 200,"US$ 5,000,000 - 9,999,999",Sosola Wooden Craft Kids&Children Toys Pretend Playset,Mr Jie Yang,,,Chinese Mainland
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Hongkong-Liveon-Kitchen-Technology-Limited/1S00OW9BU,"Exporter, Manufacturer",Hong Kong,2009.0,Homeware & Lifestyle Essentials,Worldwide,,,LIVEON,Ms Jiaqi Chen,,"7/F. PEARL ORIENTAL TOWER,NO.225 NATHAN ROAD KOWLOON H.K.",Hong Kong
https://sourcing.hktdc.com/en/Supplier-Store/Profile/Huangyan-Import-Export-Corporation-Zhejiang/1X07U2L9,"Exporter, Manufacturer","Taizhou, Zhejiang, Chinese Mainland",,"Baby Care & Nursery, Building Materials & Supplies, Environmental Protection, Furniture & Parts, Gift Sets, Gifts / Souvenirs, Gifts, Toys & Sports Supplies, Home Products, Lights & Constructions, Homeware & Lifestyle Essentials, Personal Care, Plastic Packaging, Sports Supplies Certificate Name Issued By Certificate Type Valid Date BSCI amfori BSCI -",,,,,Ms Jessie Chen,export sales staff,"7/F, General Chamber of Commerce Buliding, 118, Laodong Road.N, Huangyan, Tai Zhou, Zhejiang, China",Chinese Mainland
